transaction_id,customer_id,timestamp,channel,campaign_id,product_category,region,returning_customer,prior_orders,product_views,cart_added,dwell_time_seconds,price_comparison_tabs,original_value,discount_percent,discount_amount,treated,conversion,final_value,cost,profit
DEMO_000001,CUST_0074,2025-01-01 00:00:00,Email,RETARGET,Electronics,North,0,1,3,1,214,2,136.84,0.2,27.37,1,1,109.47,64.28,45.19
DEMO_000002,CUST_0644,2025-01-01 01:00:00,Email,WELCOME10,Electronics,West,1,4,6,0,208,1,152.2,0.15,22.83,1,1,129.37,98.29,31.08
DEMO_000003,CUST_0545,2025-01-01 02:00:00,Email,LOYALTY,Fashion,North,0,0,2,0,119,1,119.63,0.15,17.94,1,0,0.0,80.88,0.0
DEMO_000004,CUST_0365,2025-01-01 03:00:00,Organic,FLASH20,Home,North,0,0,5,1,191,2,79.06,0.15,11.86,1,0,0.0,47.8,0.0
DEMO_000005,CUST_0360,2025-01-01 04:00:00,Email,LOYALTY,Electronics,South,0,1,4,1,229,1,169.71,0.0,0.0,0,1,169.71,112.68,57.03
DEMO_000006,CUST_0715,2025-01-01 05:00:00,Direct,FLASH20,Home,South,1,1,8,1,368,2,81.05,0.1,8.1,1,0,0.0,48.13,0.0
DEMO_000007,CUST_0071,2025-01-01 06:00:00,Social,WELCOME10,Home,South,1,2,8,1,144,2,83.32,0.2,16.66,1,1,66.66,56.29,10.37
DEMO_000008,CUST_0580,2025-01-01 07:00:00,Social,LOYALTY,Beauty,South,1,4,7,0,142,0,72.16,0.0,0.0,0,0,0.0,45.7,0.0
DEMO_000009,CUST_0167,2025-01-01 08:00:00,Organic,LOYALTY,Sports,South,1,4,4,1,268,0,92.72,0.25,23.18,1,1,69.54,56.21,13.33
DEMO_000010,CUST_0078,2025-01-01 09:00:00,Direct,FLASH20,Beauty,West,1,3,7,0,242,0,98.2,0.05,4.91,1,0,0.0,66.53,0.0
DEMO_000011,CUST_0438,2025-01-01 10:00:00,Email,SUMMER15,Home,East,1,4,8,1,244,0,128.0,0.0,0.0,0,1,128.0,71.84,56.16
DEMO_000012,CUST_0812,2025-01-01 11:00:00,PPC,SUMMER15,Fashion,West,1,4,8,0,57,0,61.02,0.1,6.1,1,0,0.0,34.25,0.0
DEMO_000013,CUST_0612,2025-01-01 12:00:00,PPC,FLASH20,Home,West,0,0,6,1,301,0,91.18,0.2,18.24,1,0,0.0,58.89,0.0
DEMO_000014,CUST_0634,2025-01-01 13:00:00,Direct,SUMMER15,Home,East,1,6,7,1,293,0,78.24,0.0,0.0,0,1,78.24,47.34,30.9
DEMO_000015,CUST_0597,2025-01-01 14:00:00,Organic,SUMMER15,Home,West,1,4,11,1,291,0,135.97,0.0,0.0,0,0,0.0,65.7,0.0
DEMO_000016,CUST_0654,2025-01-01 15:00:00,Social,SUMMER15,Home,North,0,0,5,1,385,0,128.53,0.15,19.28,1,0,0.0,66.94,0.0
DEMO_000017,CUST_0427,2025-01-01 16:00:00,Email,WELCOME10,Sports,West,1,3,6,1,151,1,70.58,0.05,3.53,1,0,0.0,41.25,0.0
DEMO_000018,CUST_0106,2025-01-01 17:00:00,Direct,RETARGET,Home,South,1,1,3,0,161,0,139.98,0.0,0.0,0,1,139.98,63.51,76.47
DEMO_000019,CUST_0699,2025-01-01 18:00:00,Organic,SUMMER15,Sports,East,0,0,1,0,139,6,109.56,0.0,0.0,0,0,0.0,62.16,0.0
DEMO_000020,CUST_0375,2025-01-01 19:00:00,Organic,WELCOME10,Fashion,North,0,1,4,1,271,3,160.28,0.0,0.0,0,0,0.0,80.75,0.0
DEMO_000021,CUST_0416,2025-01-01 20:00:00,Direct,WELCOME10,Electronics,North,0,1,6,0,389,5,83.87,0.05,4.19,1,0,0.0,42.31,0.0
DEMO_000022,CUST_0308,2025-01-01 21:00:00,PPC,RETARGET,Electronics,West,0,0,1,0,425,2,146.31,0.2,29.26,1,0,0.0,95.97,0.0
DEMO_000023,CUST_0152,2025-01-01 22:00:00,PPC,FLASH20,Home,South,0,1,5,0,76,3,165.55,0.2,33.11,1,0,0.0,85.24,0.0
DEMO_000024,CUST_0771,2025-01-01 23:00:00,Organic,SUMMER15,Fashion,North,0,0,3,1,163,0,115.7,0.2,23.14,1,1,92.56,75.97,16.59
