customer_id,base_value,Final_Value,discount_amount,discount_percentage,Discount Exposure,Conversion,Profit / Margin,dwell_time_seconds,price_comparison_tabs,product_views,cart_added,ground_truth_persona
CUST_25795,1316.0,0.0,0.0,0.0,1,0,0.0,41,1,5,0,Lost Cause
CUST_10860,1162.0,0.0,0.0,0.0,0,0,0.0,207,2,5,0,Lost Cause
CUST_86820,1252.0,1064.2,187.8,0.15,1,1,473.17,17,3,4,0,Persuadable
CUST_64886,1331.0,0.0,0.0,0.0,1,0,0.0,284,1,3,0,Lost Cause
CUST_16265,1319.0,0.0,0.0,0.0,0,0,0.0,136,1,3,0,Lost Cause
CUST_92386,1702.0,0.0,0.0,0.0,0,0,0.0,258,0,1,1,Persuadable
CUST_47194,1199.0,0.0,0.0,0.0,0,0,0.0,10,2,4,0,Lost Cause
CUST_97498,1062.0,0.0,0.0,0.0,1,0,0.0,32,1,3,0,Lost Cause
CUST_54131,1746.0,1746.0,0.0,0.0,0,1,1020.43,69,1,8,1,Sure Thing
CUST_70263,3614.0,3252.6,361.4,0.1,1,1,1688.16,67,3,1,1,Persuadable
CUST_26023,4666.0,4666.0,0.0,0.0,0,1,2478.35,40,1,1,1,Sure Thing
CUST_51090,2515.0,0.0,0.0,0.0,0,0,0.0,67,2,6,1,Lost Cause
CUST_77221,3568.0,0.0,0.0,0.0,0,0,0.0,26,1,2,0,Lost Cause
CUST_74820,1683.0,0.0,0.0,0.0,1,0,0.0,73,1,6,0,Sleeping Dog
CUST_10769,1661.0,1411.85,249.15,0.15,1,1,644.96,204,1,7,1,Persuadable
CUST_69735,1742.0,1742.0,0.0,0.0,0,1,991.04,88,1,5,1,Sure Thing
CUST_72955,1059.0,900.15,158.85,0.15,1,1,463.1,12,4,4,1,Persuadable
CUST_74925,3628.0,0.0,0.0,0.0,0,0,0.0,75,2,4,0,Lost Cause
CUST_77969,1834.0,0.0,0.0,0.0,1,0,0.0,13,1,4,0,Lost Cause
CUST_15311,1708.0,1451.8,256.2,0.15,1,1,705.39,416,2,2,1,Persuadable
CUST_93104,1831.0,1647.9,183.1,0.1,1,1,781.78,26,3,2,0,Persuadable
CUST_63707,4892.0,0.0,0.0,0.0,1,0,0.0,157,2,1,1,Lost Cause
CUST_95305,3355.0,0.0,0.0,0.0,0,0,0.0,442,1,6,1,Persuadable
CUST_38693,3476.0,2954.6,521.4,0.15,1,1,1434.56,219,3,5,1,Persuadable
CUST_81932,4770.0,0.0,0.0,0.0,0,0,0.0,154,3,4,0,Persuadable
CUST_35658,1238.0,0.0,0.0,0.0,1,0,0.0,229,2,4,0,Lost Cause
CUST_94478,4727.0,0.0,0.0,0.0,1,0,0.0,490,0,5,0,Lost Cause
CUST_28431,1230.0,0.0,0.0,0.0,1,0,0.0,126,2,4,1,Lost Cause
CUST_12747,2553.0,0.0,0.0,0.0,1,0,0.0,108,0,4,1,Lost Cause
CUST_69150,1296.0,0.0,0.0,0.0,0,0,0.0,128,0,4,0,Lost Cause
CUST_75725,2649.0,0.0,0.0,0.0,0,0,0.0,101,2,3,0,Lost Cause
CUST_94654,3360.0,3360.0,0.0,0.0,0,1,1748.63,130,3,4,0,Persuadable
CUST_45773,2354.0,2354.0,0.0,0.0,0,1,1264.3,81,0,5,1,Sure Thing
CUST_77435,1294.0,1294.0,0.0,0.0,0,1,687.88,39,3,4,1,Persuadable
CUST_66886,2454.0,0.0,0.0,0.0,0,0,0.0,25,0,5,0,Lost Cause
CUST_76803,3356.0,3356.0,0.0,0.0,0,1,1920.11,18,0,7,1,Sure Thing
CUST_41551,1693.0,0.0,0.0,0.0,0,0,0.0,46,2,5,1,Lost Cause
CUST_21394,1830.0,1830.0,0.0,0.0,0,1,1062.28,15,1,4,1,Sure Thing
CUST_79092,4917.0,0.0,0.0,0.0,0,0,0.0,110,0,7,1,Lost Cause
CUST_13890,9500.0,9500.0,0.0,0.0,0,1,5007.41,50,1,7,1,Sure Thing
CUST_51606,6444.0,0.0,0.0,0.0,0,0,0.0,218,2,5,0,Lost Cause
CUST_90038,2352.0,2352.0,0.0,0.0,0,1,1389.73,19,0,5,1,Sure Thing
CUST_97313,6451.0,0.0,0.0,0.0,0,0,0.0,40,3,5,1,Persuadable
CUST_20627,3548.0,0.0,0.0,0.0,1,0,0.0,167,0,3,0,Lost Cause
CUST_18792,2594.0,0.0,0.0,0.0,0,0,0.0,119,0,3,0,Lost Cause
CUST_83969,1227.0,0.0,0.0,0.0,1,0,0.0,17,0,6,0,Sleeping Dog
CUST_53001,1670.0,0.0,0.0,0.0,0,0,0.0,261,2,3,0,Lost Cause
CUST_86552,2376.0,0.0,0.0,0.0,1,0,0.0,261,1,4,0,Lost Cause
CUST_33897,1667.0,1500.3,166.7,0.1,1,1,756.83,58,0,7,1,Sure Thing
CUST_78148,1282.0,0.0,0.0,0.0,0,0,0.0,59,4,5,0,Persuadable
CUST_33483,1840.0,0.0,0.0,0.0,0,0,0.0,551,3,7,0,Persuadable
