customer_id,base_value,final_value,discount_amount,discount_percentage,discount_exposure,conversion,profit_margin,dwell_time_seconds,price_comparison_tabs,product_views,cart_added,ground_truth_persona
CUST_25795,2772.96,0.0,0.0,0.0,0,0,0.0,498,5,8,1,persuadable
CUST_10860,4654.15,0.0,0.0,0.0,1,0,0.0,24,0,2,0,lost_cause
CUST_86820,6601.03,5610.88,990.15,0.15,1,1,2970.47,66,1,2,1,sure_thing
CUST_64886,4655.72,3957.36,698.36,0.15,1,1,2095.07,473,4,12,0,persuadable
CUST_16265,3680.6,2760.45,920.15,0.25,1,1,1288.21,278,4,10,0,persuadable
CUST_92386,2035.29,0.0,0.0,0.0,0,0,0.0,564,6,13,0,persuadable
CUST_47194,5076.92,0.0,0.0,0.0,0,0,0.0,43,0,1,0,lost_cause
CUST_97498,3263.25,0.0,0.0,0.0,0,0,0.0,55,0,2,0,lost_cause
CUST_54131,5497.07,4947.36,549.71,0.1,1,1,2748.53,72,0,3,1,sure_thing
CUST_70263,7851.72,7851.72,0.0,0.0,0,1,4711.03,89,1,1,1,sure_thing
CUST_26023,2223.54,2223.54,0.0,0.0,0,1,1334.12,113,0,3,1,sure_thing
CUST_51090,2878.82,0.0,0.0,0.0,0,0,0.0,30,1,1,0,lost_cause
CUST_77221,4575.11,0.0,0.0,0.0,0,0,0.0,23,2,2,0,lost_cause
CUST_74820,7795.99,0.0,0.0,0.0,0,0,0.0,545,3,7,0,persuadable
CUST_10769,6516.76,0.0,0.0,0.0,0,0,0.0,17,0,2,0,lost_cause
CUST_69735,7338.49,0.0,0.0,0.0,1,0,0.0,6,0,2,0,lost_cause
CUST_72955,3669.15,0.0,0.0,0.0,0,0,0.0,17,2,1,0,lost_cause
CUST_74925,7948.25,0.0,0.0,0.0,0,0,0.0,17,2,1,0,lost_cause
CUST_77969,2168.41,0.0,0.0,0.0,0,0,0.0,535,4,11,1,persuadable
CUST_15311,1844.32,0.0,0.0,0.0,1,0,0.0,52,1,2,0,lost_cause
CUST_93104,7061.42,0.0,0.0,0.0,0,0,0.0,215,4,8,0,persuadable
CUST_63707,7527.22,0.0,0.0,0.0,0,0,0.0,45,1,1,0,lost_cause
CUST_95305,2088.8,0.0,0.0,0.0,1,0,0.0,8,2,2,0,lost_cause
CUST_38693,2237.28,0.0,0.0,0.0,1,0,0.0,14,2,1,0,lost_cause
CUST_81932,1715.63,0.0,0.0,0.0,0,0,0.0,18,1,2,0,lost_cause
CUST_35658,2179.3,2179.3,0.0,0.0,0,1,1307.58,54,0,3,1,sure_thing
CUST_94478,2861.23,0.0,0.0,0.0,0,0,0.0,569,5,12,0,persuadable
CUST_28431,7805.5,0.0,0.0,0.0,1,0,0.0,77,3,3,1,sleeping_dog
CUST_12747,5841.09,0.0,0.0,0.0,0,0,0.0,38,0,2,0,lost_cause
CUST_69150,6560.59,5904.53,656.06,0.1,1,1,3280.29,40,1,2,1,sure_thing
CUST_75725,6544.91,4908.68,1636.23,0.25,1,1,2290.72,67,1,2,1,sure_thing
CUST_94654,4977.98,4480.18,497.8,0.1,1,1,2488.99,39,0,3,1,sure_thing
